Date,lme,alua_ars,dxy,ggal_adr,ggal_ars,txar_ars,sp500,merval,us10y,lme_adj,alua_ars_adj,dxy_adj,ggal_adr_adj,ggal_ars_adj,txar_ars_adj,sp500_adj,merval_adj,us10y_adj
2020-11-06,1905.25,49.95000076293945,92.2300033569336,7.610000133514404,115.25,54.70000076293945,3509.43994140625,48493.0,0.8199999928474426,1905.25,45.51117706298828,92.2300033569336,5.819204807281494,85.30614471435547,45.592071533203125,3509.43994140625,48493.0,0.8199999928474426
2020-11-09,1900.25,50.400001525878906,92.7300033569336,8.09000015258789,122.30000305175781,53.599998474121094,3550.5,49650.0,0.9580000042915344,1900.25,45.92118453979492,92.7300033569336,6.186251163482666,90.52442932128906,44.675228118896484,3550.5,49650.0,0.9580000042915344
2020-11-10,1905.5,49.099998474121094,92.75,8.800000190734863,128.75,52.5,3545.530029296875,51819.0,0.972000002861023,1905.5,44.73670959472656,92.75,6.729171276092529,95.29861450195312,43.75838851928711,3545.530029296875,51819.0,0.972000002861023
2020-11-11,1909.75,49.849998474121094,93.04000091552734,8.300000190734863,125.69999694824219,52.5,3572.659912109375,51435.0,0.9580000042915344,1909.75,45.42005920410156,93.04000091552734,6.346832752227783,93.04104614257812,43.75838851928711,3572.659912109375,51435.0,0.9580000042915344
2020-11-12,1916.5,49.54999923706055,92.95999908447266,7.909999847412109,119.0999984741211,50.70000076293945,3537.010009765625,49553.0,0.8849999904632568,1916.5,45.14672088623047,92.95999908447266,6.048608779907227,88.15584564208984,42.25810241699219,3537.010009765625,49553.0,0.8849999904632568
2020-11-13,1922.5,49.400001525878906,92.76000213623047,8.260000228881836,120.55000305175781,49.04999923706055,3585.14990234375,49896.0,0.8930000066757202,1922.5,45.01005172729492,92.76000213623047,6.31624698638916,89.22911071777344,40.882835388183594,3585.14990234375,49896.0,0.8930000066757202
2020-11-16,1945.75,49.900001525878906,92.56999969482422,8.369999885559082,123.8499984741211,49.95000076293945,3626.909912109375,51085.0,0.906000018119812,1945.75,45.46562194824219,92.56999969482422,6.40036153793335,91.67171478271484,41.63297653198242,3626.909912109375,51085.0,0.906000018119812
2020-11-17,1967.5,49.79999923706055,92.41999816894531,8.609999656677246,127.0999984741211,51.099998474121094,3609.530029296875,51912.0,0.871999979019165,1967.5,45.3745002746582,92.41999816894531,6.583883762359619,94.07730865478516,42.591495513916016,3609.530029296875,51912.0,0.871999979019165
2020-11-18,1984.25,49.400001525878906,92.31999969482422,8.1899995803833,124.0,50.79999923706055,3567.7900390625,51296.0,0.8820000290870667,1984.25,45.01005172729492,92.31999969482422,6.262718677520752,91.78274536132812,42.34144973754883,3567.7900390625,51296.0,0.8820000290870667
2020-11-19,1971.0,48.04999923706055,92.29000091552734,8.329999923706055,124.94999694824219,50.099998474121094,3581.8701171875,50950.0,0.8539999723434448,1971.0,43.7800178527832,92.29000091552734,6.369772434234619,92.48593139648438,41.75800323486328,3581.8701171875,50950.0,0.8539999723434448
2020-11-20,1971.75,48.0,92.38999938964844,8.119999885559082,124.1500015258789,50.400001525878906,3557.5400390625,51492.0,0.8289999961853027,1971.75,43.734458923339844,92.38999938964844,6.209190368652344,91.89378356933594,42.008052825927734,3557.5400390625,51492.0,0.8289999961853027
2020-11-23,1947.5,,92.51000213623047,8.3100004196167,,,3577.590087890625,,0.8569999933242798,1947.5,,92.51000213623047,6.354480266571045,,,3577.590087890625,,0.8569999933242798
2020-11-24,1960.0,49.04999923706055,92.2300033569336,8.819999694824219,131.8000030517578,51.900001525878906,3635.409912109375,54136.0,0.8820000290870667,1960.0,44.691158294677734,92.2300033569336,6.7444658279418945,97.55618286132812,43.25829315185547,3635.409912109375,54136.0,0.8820000290870667
2020-11-25,1948.75,50.900001525878906,91.98999786376953,8.760000228881836,131.14999389648438,52.79999923706055,3629.64990234375,54151.0,0.878000020980835,1948.75,46.37675476074219,91.98999786376953,6.698587417602539,97.07505798339844,44.00843811035156,3629.64990234375,54151.0,0.878000020980835
